0.017857142857142856 0.15384615384615385 1 0 0 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.005740740740740741 0 0.0 0.0 0 0;-0.06666666666666667 0.0 -0.1 0.03333333333333335 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.005925925925925926 1 0.0 0.0 0 0;-0.03333333333333333 -0.06666666666666667 0.0 -0.19999999999999998 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.006111111111111111 2 0.0 0.0 0 0;-0.06666666666666667 -0.06666666666666667 0.06666666666666667 0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.006296296296296296 3 0.0 0.0 0 0;0.06666666666666665 0.13333333333333333 -0.06666666666666668 1.3877787807814457E-17 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.006481481481481481 4 0.0 0.0 0 0;0.06666666666666667 0.16666666666666666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.23076923076923078 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.006666666666666667 5 0.0 0.0 0 0;-0.06666666666666667 0.0 -0.1 0.13333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.23076923076923078 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.006851851851851852 0 0.0 0.0 0 0;0.03333333333333333 -0.03333333333333333 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.07142857142857142 0.5769230769230769 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.23076923076923078 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.007037037037037037 1 0.0 0.0 0 0;-0.19999999999999998 0.0 0.0 -0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.07142857142857142 0.6153846153846154 1 0 2 0.03571428571428571 0.8076923076923077 1 0 3 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.23076923076923078 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.007222222222222222 2 0.0 0.0 0 0;0.0 0.0 -0.06666666666666667 -0.06666666666666665 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.07142857142857142 0.6153846153846154 1 0 2 0.03571428571428571 0.8076923076923077 1 0 0 0.8928571428571429 0.15384615384615385 1 1 3 0.9464285714285714 0.23076923076923078 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.007407407407407408 3 0.0 0.0 0 0;-0.13333333333333333 0.03333333333333333 -0.03333333333333333 0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
